SEQ,酒店,国家,省份,城市,商圈,星级,业务部门,房间数,图片数,评分,评论数,城市平均实住间夜,酒店总订单,酒店总间夜,酒店实住订单,酒店实住间夜,酒店直销订单,酒店直销间夜,酒店直销实住订单,酒店直销实住间夜,酒店直销拒单,酒店直销拒单率,城市直销订单,城市直销拒单率,拒单率是否小于等于直销城市均值
aba_5140,阿坝若尔盖旺仓客栈,中国,四川,阿坝,NULL,二星及其他,低星,12,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5141,阿坝若尔盖民泰宾馆,中国,四川,阿坝,西部旅游牧场,二星及其他,低星,10,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5142,阿坝九寨沟丛牙印象酒店,中国,四川,阿坝,NULL,二星及其他,低星,210,NULL,1,2,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5144,阿坝九寨沟下安乐村玉珍家庭客栈,中国,四川,阿坝,九寨沟县城,二星及其他,客栈,5,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5145,阿坝峥嵘酒店,中国,四川,阿坝,坪头羌寨,二星及其他,低星,120,NULL,3.906150103,10,34.06,8,14,3,5,8,14,3,5,2,25.00%,34147,7.90%,0
aba_5147,阿坝郭克街11号客栈,中国,四川,阿坝,漳扎镇,二星及其他,低星,15,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5148,阿坝川主寺万福山庄,中国,四川,阿坝,黄龙机场、川主寺,三星级/舒适,低星,80,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5149,阿坝川主寺仓祁客栈,中国,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,12,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5150,阿坝川主寺鑫宇农家宾馆,中国,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,12,NULL,1,1,34.06,7,9,2,2,5,7,2,2,3,60.00%,34147,7.90%,0
aba_5151,阿坝若尔盖旺嘉宾馆,中国,四川,阿坝,NULL,二星及其他,低星,32,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5152,阿坝川主寺义德大酒店,中国,四川,阿坝,黄龙机场、川主寺,三星级/舒适,低星,160,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5153,阿坝鑫雅客栈,中国,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,36,NULL,4,4,34.06,14,25,NULL,NULL,5,7,NULL,NULL,0,0.00%,34147,7.90%,1
aba_5154,阿坝若尔盖和平宾馆,中国,四川,阿坝,NULL,二星及其他,低星,10,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5155,阿坝茂县尔巴沟客栈,中国,四川,阿坝,坪头羌寨,二星及其他,低星,9,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5156,阿坝茂县鑫河客栈,中国,四川,阿坝,坪头羌寨,二星及其他,低星,9,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5157,阿坝松潘县永利商务酒店,中国,四川,阿坝,松潘古城,二星及其他,低星,54,NULL,4.032259941,4,34.06,13,15,6,6,13,15,6,6,0,0.00%,34147,7.90%,1
aba_5158,九寨沟月亮湾假日酒店,中国,四川,阿坝,漳扎镇,二星及其他,客栈,42,NULL,4.736460209,871,34.06,512,952,353,635,458,855,324,587,8,1.75%,34147,7.90%,1
aba_5159,阿坝若尔盖安诚旅店,中国,四川,阿坝,唐克镇,二星及其他,低星,12,NULL,3.75,2,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5160,阿坝若尔盖如意宾馆,中国,四川,阿坝,NULL,二星及其他,低星,26,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5161,阿坝若尔盖扎西宾馆,中国,四川,阿坝,NULL,二星及其他,低星,18,NULL,4.822219849,7,34.06,1,4,1,4,1,4,1,4,0,0.00%,34147,7.90%,1
aba_5162,锦江之星阿坝九寨沟漳扎村店,中国,四川,阿坝,漳扎镇,经济型,低星,99,NULL,4.430079937,110,34.06,108,174,61,94,76,115,43,65,11,14.47%,34147,7.90%,0
aba_5163,汶川岷江假日酒店,中国,四川,阿坝,NULL,三星级/舒适,低星,70,NULL,4.387060165,373,34.06,78,123,52,87,29,45,23,36,2,6.90%,34147,7.90%,1
aba_5164,阿坝若尔盖雪域聚宝旅店,中国,四川,阿坝,唐克镇,二星及其他,低星,20,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5165,九寨沟薛家大院,中国,四川,阿坝,九寨沟县城,二星及其他,低星,23,NULL,4.846149921,2,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5166,松潘绵州川菜旅馆,中国,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,19,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5167,九寨沟路口客栈,中国,四川,阿坝,九寨沟县城,二星及其他,低星,18,NULL,NULL,NULL,34.06,1,1,NULL,NULL,1,1,NULL,NULL,1,100.00%,34147,7.90%,0
aba_5168,松潘金元宝茶楼宾馆,中国,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,18,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5169,阿坝若尔盖唐克鱼庄住宿,中国,四川,阿坝,唐克镇,二星及其他,低星,13,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5170,阿坝云顶乡居客栈,中国,四川,阿坝,坪头羌寨,二星及其他,低星,22,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5171,阿坝雪坪路5号客栈,中国,四川,阿坝,坪头羌寨,二星及其他,低星,8,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5172,阿坝雪坪路羌家旅社,中国,四川,阿坝,坪头羌寨,二星及其他,低星,8,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5173,阿坝红原金巴家庭住宿,中国,四川,阿坝,NULL,二星及其他,低星,7,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5175,松潘县黄龙瑟尔磋寨宾馆,中国,四川,阿坝,黄龙风景区,二星及其他,低星,30,NULL,4.918540001,77,34.06,73,110,43,65,57,80,37,50,1,1.75%,34147,7.90%,1
aba_5177,阿坝茂县鸿运商务客栈,中国,四川,阿坝,坪头羌寨,二星及其他,低星,35,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5178,九寨沟县丰源农庄,中国,四川,阿坝,九寨沟县城,二星及其他,低星,10,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5179,阿坝九寨沟白马山庄,中国,四川,阿坝,九寨沟县城,二星及其他,低星,18,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5180,阿坝松潘德阳宾馆,中国,四川,阿坝,松潘古城,二星及其他,低星,10,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5181,松潘鸿祥宾馆,中国,四川,阿坝,松潘古城,二星及其他,低星,21,NULL,5,2,34.06,47,74,40,59,47,74,40,59,1,2.13%,34147,7.90%,1
aba_5182,阿坝茂县岷月客栈,中国,四川,阿坝,坪头羌寨,二星及其他,低星,17,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5184,阿坝晨嘻客栈,中国,四川,阿坝,NULL,二星及其他,低星,10,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5185,阿坝藏家休闲山庄,中国,四川,阿坝,古尔沟,二星及其他,低星,18,NULL,4.556759834,28,34.06,36,50,23,29,14,23,7,10,2,14.29%,34147,7.90%,0
aba_5186,阿坝郎措客栈,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,24,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5187,阿坝九寨彩云酒店,中国,四川,阿坝,漳扎镇,二星及其他,低星,37,NULL,4.628759861,165,34.06,81,132,54,79,71,106,51,70,0,0.00%,34147,7.90%,1
aba_5188,阿坝九缘宾馆,中国,四川,阿坝,九寨沟县城,二星及其他,低星,16,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5189,阿坝乡村风情苑农家乐,中国,四川,阿坝,黄龙机场、川主寺,二星及其他,客栈,8,NULL,2.285710096,3,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5190,阿坝黑水县冰山行者客栈,中国,四川,阿坝,达古冰川,二星及其他,客栈,30,NULL,4.705480099,16,34.06,47,90,22,46,34,64,15,28,0,0.00%,34147,7.90%,1
aba_5191,阿坝理县军庆宾馆,中国,四川,阿坝,毕棚沟,二星及其他,低星,12,NULL,4.463409901,5,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5193,阿坝毕棚沟怡佳住宿,中国,四川,阿坝,毕棚沟,二星及其他,低星,20,NULL,3.617280006,10,34.06,45,66,20,28,45,66,20,28,8,17.78%,34147,7.90%,0
aba_5194,阿坝茂县祥雲商务客栈,中国,四川,阿坝,坪头羌寨,二星及其他,低星,12,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5195,阿坝若尔盖鑫华鱼庄住宿,中国,四川,阿坝,唐克镇,二星及其他,低星,20,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5196,理县岩林宾馆,中国,四川,阿坝,毕棚沟,二星及其他,低星,32,NULL,1.928570032,3,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5197,理县孟屯吉祥之谷客栈,中国,四川,阿坝,NULL,二星及其他,客栈,10,NULL,4.48100996,17,34.06,10,12,1,2,10,12,1,2,0,0.00%,34147,7.90%,1
aba_5198,阿坝藏家住宿,中国,四川,阿坝,漳扎镇,二星及其他,低星,NULL,NULL,5,1,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5199,阿坝吉姆酒店,中国,四川,阿坝,漳扎镇,二星及其他,客栈,NULL,NULL,5,1,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5200,阿坝红原善博宾馆,中国,四川,阿坝,NULL,二星及其他,低星,13,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5202,阿坝理县赞巴拉酒店,中国,四川,阿坝,古尔沟,二星及其他,低星,22,NULL,3.913039923,3,34.06,5,14,2,10,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5204,阿坝红原银珠格桑花家庭旅店,中国,四川,阿坝,NULL,二星及其他,客栈,3,NULL,4.640620232,21,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5205,阿坝九寨沟酒店,中国,四川,阿坝,九寨沟县城,二星及其他,低星,NULL,NULL,3.400000095,2,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5206,阿坝九寨沟吉祥住宿,中国,四川,阿坝,漳扎镇,二星及其他,低星,15,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5207,卡龙沟口宾馆,中国,四川,阿坝,NULL,二星及其他,客栈,20,NULL,4.456520081,6,34.06,8,9,4,4,5,6,3,3,2,40.00%,34147,7.90%,0
aba_5208,阿坝旅途中的家住宿,中国,四川,阿坝,NULL,二星及其他,低星,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5209,阿坝若尔盖吉隆旅店,中国,四川,阿坝,西部旅游牧场,二星及其他,低星,17,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5210,阿坝若尔盖交通宾馆,中国,四川,阿坝,NULL,二星及其他,低星,12,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5211,阿坝九寨沟百姓人家住宿,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,30,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5212,阿坝九寨沟丰园16号住宿,中国,四川,阿坝,九寨沟县城,二星及其他,低星,15,NULL,4,1,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5213,阿坝九寨沟迎宾旅馆,中国,四川,阿坝,九寨沟县城,二星及其他,低星,26,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5214,九寨沟河畔人家客栈,中国,四川,阿坝,NULL,二星及其他,客栈,20,NULL,4.846560001,143,34.06,88,161,73,138,71,122,60,106,0,0.00%,34147,7.90%,1
aba_5215,阿坝唐克欢乐藏家客栈,中国,四川,阿坝,九曲黄河景区,二星及其他,客栈,12,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5216,阿坝藏情藏家乐,中国,四川,阿坝,漳扎镇,二星及其他,客栈,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5217,阿坝水磨镇羌寨客栈,中国,四川,阿坝,水磨镇,二星及其他,低星,20,NULL,3.857140064,3,34.06,6,9,4,6,6,9,4,6,2,33.33%,34147,7.90%,0
aba_5218,阿坝九洲人家酒店,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,36,NULL,5,1,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5219,阿坝汶川古羌人家客栈,中国,四川,阿坝,NULL,二星及其他,低星,13,NULL,5,2,34.06,6,9,2,2,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5221,阿坝若尔盖唐克平安住宿,中国,四川,阿坝,九曲黄河景区,二星及其他,低星,10,NULL,4,1,34.06,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5223,阿坝白云宾馆,中国,四川,阿坝,九寨沟县城,二星及其他,低星,15,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5224,阿坝吉祥旅馆,中国,四川,阿坝,NULL,二星及其他,低星,11,NULL,NULL,NULL,34.06,1,1,NULL,NULL,1,1,NULL,NULL,0,0.00%,34147,7.90%,1
aba_5225,阿坝顺强宾馆,中国,四川,阿坝,毕棚沟,二星及其他,低星,12,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5226,阿坝卧龙守貘农庄,中国,四川,阿坝,NULL,二星及其他,低星,20,NULL,4.917809963,14,34.06,39,59,14,18,38,58,14,18,15,39.47%,34147,7.90%,0
aba_5227,阿坝九寨沟茹家客栈,中国,四川,阿坝,九寨沟县城,二星及其他,客栈,20,NULL,3,1,34.06,7,11,3,6,7,11,3,6,2,28.57%,34147,7.90%,0
aba_5228,阿坝热水塘酒楼,中国,四川,阿坝,古尔沟,二星及其他,低星,40,NULL,4.730259895,17,34.06,116,174,74,105,116,174,74,105,2,1.72%,34147,7.90%,1
aba_5229,阿坝墨水县家福客栈,中国,四川,阿坝,NULL,二星及其他,低星,11,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5230,阿坝茂县古羌城酒店,中国,四川,阿坝,坪头羌寨,三星级/舒适,低星,79,NULL,4.422920227,69,34.06,68,105,45,69,54,77,40,61,4,7.41%,34147,7.90%,1
aba_5231,阿坝汶川摄哥住宿,中国,四川,阿坝,水磨镇,二星及其他,低星,50,NULL,NULL,NULL,34.06,1,1,NULL,NULL,1,1,NULL,NULL,0,0.00%,34147,7.90%,1
aba_5232,阿坝汶川观景楼客栈,中国,四川,阿坝,水磨镇,二星及其他,低星,25,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5233,阿坝菜园乡村农家乐,中国,四川,阿坝,九寨沟县城,二星及其他,客栈,50,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5234,阿坝邓园山庄酒店,中国,四川,阿坝,四姑娘山,二星及其他,低星,10,NULL,1,1,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5235,阿坝杜他藏家-臧家乐,中国,四川,阿坝,NULL,二星及其他,客栈,20,NULL,5,4,34.06,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5236,阿坝八宝客栈,中国,四川,阿坝,达古冰川,二星及其他,客栈,20,NULL,4.684929848,3,34.06,13,30,3,6,11,24,3,6,3,27.27%,34147,7.90%,0
aba_5237,阿坝小金嘉绒港湾商务酒店,中国,四川,阿坝,NULL,二星及其他,低星,60,NULL,3.5,2,34.06,13,23,5,11,5,12,3,7,0,0.00%,34147,7.90%,1
aba_5238,阿坝岷江韵客栈,中国,四川,阿坝,坪头羌寨,二星及其他,低星,30,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5239,阿坝才盖迎宾馆,中国,四川,阿坝,NULL,二星及其他,客栈,38,NULL,4.681819916,12,34.06,20,35,7,11,20,35,7,11,1,5.00%,34147,7.90%,1
aba_5240,阿坝海边农庄,中国,四川,阿坝,NULL,二星及其他,低星,30,NULL,4.485710144,9,34.06,5,5,NULL,NULL,5,5,NULL,NULL,2,40.00%,34147,7.90%,0
aba_5241,阿坝小桥流水之家客栈,中国,四川,阿坝,NULL,二星及其他,低星,16,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5242,九寨沟兰卡假日酒店,中国,四川,阿坝,漳扎镇,二星及其他,低星,130,NULL,4.684710026,33,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5243,毕棚沟四南达农家客栈,中国,四川,阿坝,毕棚沟,二星及其他,客栈,12,NULL,4.91945982,5,34.06,2,2,1,1,2,2,1,1,0,0.00%,34147,7.90%,1
aba_5244,理县毕棚沟自驾驿栈,中国,四川,阿坝,毕棚沟,二星及其他,低星,10,NULL,4.586110115,19,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5246,阿坝黑水西布里民宿客栈,中国,四川,阿坝,NULL,二星及其他,低星,14,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5247,马尔康绒城酒店,中国,四川,阿坝,NULL,二星及其他,低星,29,NULL,4.345330238,281,34.06,116,195,73,123,93,147,56,87,7,7.53%,34147,7.90%,1
aba_5248,阿坝毕棚沟金珠酒店,中国,四川,阿坝,毕棚沟,二星及其他,低星,26,NULL,4.525909901,164,34.06,72,94,53,69,69,90,53,69,10,14.49%,34147,7.90%,0
aba_5249,阿坝州茂县锦程客栈,中国,四川,阿坝,坪头羌寨,二星及其他,低星,8,NULL,5,2,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5250,阿坝黑水县雪莲商务酒店,中国,四川,阿坝,NULL,二星及其他,低星,NULL,NULL,NULL,NULL,34.06,1,3,NULL,NULL,1,3,NULL,NULL,1,100.00%,34147,7.90%,0
aba_5251,理县雪域人家客栈,中国,四川,阿坝,毕棚沟,二星及其他,低星,16,NULL,NULL,NULL,34.06,6,8,NULL,NULL,5,5,NULL,NULL,5,100.00%,34147,7.90%,0
aba_5254,阿坝游人之家客栈,中国,四川,阿坝,NULL,二星及其他,低星,31,NULL,NULL,NULL,34.06,6,12,3,8,6,12,3,8,2,33.33%,34147,7.90%,0
aba_5255,阿坝安多藏家客栈,中国,四川,阿坝,NULL,二星及其他,客栈,10,NULL,4.071430206,8,34.06,14,16,5,5,10,12,1,1,0,0.00%,34147,7.90%,1
aba_5257,阿坝四姑娘山绒雪藏庄住宿,中国,四川,阿坝,四姑娘山,二星及其他,客栈,7,NULL,5,1,34.06,10,21,4,10,2,2,NULL,NULL,2,100.00%,34147,7.90%,0
aba_5258,阿坝羌城宾馆,中国,四川,阿坝,水磨镇,二星及其他,低星,20,NULL,NULL,NULL,34.06,10,11,NULL,NULL,9,10,NULL,NULL,3,33.33%,34147,7.90%,0
aba_5259,阿坝生源宾馆,中国,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,51,NULL,1,1,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5260,理县利锦轩客栈,中国,四川,阿坝,毕棚沟,二星及其他,低星,12,NULL,4.91549015,3,34.06,20,28,4,6,12,16,1,1,4,33.33%,34147,7.90%,0
aba_5262,阿坝荷叶藏家客栈,中国,四川,阿坝,NULL,二星及其他,客栈,20,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5264,阿坝迎宾旅社,中国,四川,阿坝,西部旅游牧场,二星及其他,低星,20,NULL,5,1,34.06,2,3,2,3,2,3,2,3,0,0.00%,34147,7.90%,1
aba_5266,阿坝藏家缘商务酒店,中国,四川,阿坝,达古冰川,二星及其他,低星,30,NULL,5,6,34.06,73,125,31,53,67,104,30,48,9,13.43%,34147,7.90%,0
aba_5267,阿坝达古冰川国际大酒店,中国,四川,阿坝,达古冰川,三星级/舒适,低星,NULL,NULL,3.067450047,17,34.06,9,21,NULL,NULL,9,21,NULL,NULL,8,88.89%,34147,7.90%,0
aba_5268,阿坝羌寨缘商务酒店,中国,四川,阿坝,坪头羌寨,二星及其他,低星,8,NULL,3,1,34.06,9,9,6,6,9,9,6,6,1,11.11%,34147,7.90%,0
aba_5269,阿坝扎西客栈,中国,四川,阿坝,NULL,二星及其他,低星,30,NULL,NULL,NULL,34.06,5,5,NULL,NULL,5,5,NULL,NULL,3,60.00%,34147,7.90%,0
aba_5270,阿坝理县碉楼客栈,中国,四川,阿坝,桃坪羌寨,二星及其他,客栈,14,NULL,4.037909985,11,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5272,阿坝若尔盖鑫旺商务宾馆,中国,四川,阿坝,NULL,二星及其他,低星,20,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5273,阿坝若尔盖花湖客栈,中国,四川,阿坝,西部旅游牧场,二星及其他,低星,15,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5274,九寨沟天府客栈,中国,四川,阿坝,漳扎镇,二星及其他,低星,10,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5275,阿坝九寨沟任家客栈,中国,四川,阿坝,九寨沟县城,二星及其他,客栈,30,NULL,5,1,34.06,3,3,1,1,3,3,1,1,0,0.00%,34147,7.90%,1
aba_5276,阿坝四姑娘山巴郎部落主题客栈,中国,四川,阿坝,四姑娘山,二星及其他,客栈,14,NULL,4.813029766,89,34.06,55,85,33,50,31,47,19,28,2,6.45%,34147,7.90%,1
aba_5277,阿坝钰磊藏家乐,中国,四川,阿坝,毕棚沟,二星及其他,客栈,20,NULL,4.581039906,8,34.06,17,29,8,10,14,18,8,10,0,0.00%,34147,7.90%,1
aba_5278,阿坝小九寨农庄,中国,四川,阿坝,九寨沟县城,二星及其他,低星,30,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5279,阿坝桥头饭店住宿,中国,四川,阿坝,NULL,二星及其他,低星,7,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5280,阿坝小九寨旅馆,中国,四川,阿坝,NULL,二星及其他,低星,12,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_5281,阿坝卡龙洪福聚宾馆,中国,四川,阿坝,NULL,二星及其他,低星,14,NULL,3.52380991,3,34.06,2,2,NULL,NULL,2,2,NULL,NULL,0,0.00%,34147,7.90%,1
aba_5282,阿坝缘味苑成都人家,中国,四川,阿坝,毕棚沟,二星及其他,低星,30,NULL,NULL,NULL,34.06,6,10,NULL,NULL,6,10,NULL,NULL,3,50.00%,34147,7.90%,0
aba_5283,阿坝富民桥客栈,中国,四川,阿坝,NULL,二星及其他,低星,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
