编号,酒店名称,评论信息,备注,评论人,评论日期,评分,情感倾向
108,亚朵酒店,太差了，晚上空调坏了不能用，也不隔音，半夜有人高声说话走动，无论服务还是环境都不止这个价，这些年到上海入住的最差酒店，再也不会住这个酒店了,,浩xx鑫,2022-08-08,1,负向
109,亚朵酒店,房间不值，,,桂英xx宁,2022-10-11,1,负向
110,亚朵酒店,入住的豪华大床房带窗户，这个窗离外面的墙估计就1米的距离，外面什么都看不到，就是看墙。窗外的噪音一直吵，吵的头疼要买药吃，加了钱送早餐，两天都没吃到。下次慎重选择，不要让五星骗了。,,晶xx玉,2022-12-29,1,负向
111,亚朵酒店,说实话本次入住的房间非常差、阴暗潮湿 房间外面不知道是酒店后厨还是仓库 噪音非常大、再说说房间配套 浴袍没有 都是需要打电话要才给送过来，总之不推荐！,,宇xx凤兰,2022-01-21,1,负向
112,亚朵酒店,住过最差的酒店，连洗手液都是稀释过的。酒店冷气没开，关门27度闷热的不能睡。无奈开了阳台门睡了一晚，每隔半小时被外滩钟声吵醒，把孩子都冻感冒了，颠覆了对亚朵的好印象，不推荐。,,艳xx桂芳,2022-11-28,1,负向
113,亚朵酒店,房间太一般，同价位有太多比这个酒店设施等等好太多的酒店。因为这个酒店，以后不会再选择任何亚朵酒店。此次住宿体检差到极点，性价比太差，还不如一下经济性的连锁酒店。,,斌xx建华,2022-07-05,1,负向
114,亚朵酒店,首先总共住了3天第一天去了上海下雨??，入住选择的是高级大床房加一元升级，前台没给升级空调还是坏的，叫人修告知修不好，也没给换房间也没有任何补偿措施，整整冻了三晚上。,,柳xx洋,2022-01-22,1,负向
115,亚朵酒店,房间很小、服务一般、可能是地段韵原因价格和整体的感受不匹配．如果在来不会选择！唯一觉??早餐还可以！,,秀云xx玲,2022-03-25,4,正向
116,亚朵酒店,"1、服务：本来开始订个标间，去了以后发现房间太小了，然后去前台升级成亲子房间。。升级的过程中又说让我老公升级成会员，结果升级了会员，房间费结果{比我在携程上订的还贵，后来我说他们价格混乱，一位貌似是主管的让他们前台人员最终按携程价补的差价。。。_x000D_
2、卫生：进了亲子房间以后，房间有很大一股味道不说，地板上还有一大缕拖地遗留下来的头发加灰尘，很恶心，我也没说什么，自己用纸巾包着捡起来了。最恶心的莫过是马桶圈上面的尿渍了，本人住酒店，有一个习惯，去了先烧水烫马桶，所以，一下就发现尿渍，真的是太恶心了，反正我以后是坚决不会再入住亚朵了。。。_x000D_
3、生活配件：作为花了1000+的房间，竟然连剃须刀都没有标配，还是打电话才送来的。。。_x000D_
      综上所述：以后我反正是不会入住亚朵酒店了",,淑兰xx淑兰,2022-11-08,1,负向
117,亚朵酒店,千言万语汇成一句话，感谢您茫茫酒店选择亚朵，感谢您的用心分享，我们会积极整改做的不到位地方。给每一位朵友们提供更好的服务，更好的房间。朵朵会引以为鉴做为鞭策，及时改进，朵儿们需要客官您给予提高和改善的机会，亚朵的宗旨的是用心服务，让您感受邻里服务，以属地摄影和人文为主题，外滩南京东路酒店的朵朵们期待您下次光临检阅。,,旭xx杰,2022-09-30,5,正向
118,亚朵酒店,酒店服务处理态度真的是没见过这么差的，苹果耳机遗留到酒店，退房后15分钟打电话问前台找，说找到了，然后我们叫了顺丰同城闪送，送到手机不是我们的东西。我们一开始以为是酒店服务生拿错了就要求把我们还给我们，一开始说调查，说当天6点回给一个回复，当天也没有一个明确的结果。说第二天中午给答复，然后第二天一个男的经理说他现在负责这个事下午两点前给说法，得到的结果就是他们酒店没有错说是顺丰的问题，一开始我们没有怀疑调包后来怀疑是调包我们说不要了你赔偿我们就好了，我们提供了购买记录和耳机的编码，他送来的耳机根本不是我们的。到目前把责任全部推给了顺丰闪送的人！顺丰也说他没用调包之类的。最后我说既然你们都说是对方的责任就一人一半承担，结果还是不同意还说那不行就报警吧。早上离店的时候还发现了一只蟑螂！本来这些都是很小的问题弄的这么复杂！（前三张是酒店寄给我们的，最后一张是我们耳机的编码）,,岩xx帅,2022-02-23,1,负向
119,亚朵酒店,非常差的体验 酒店设施老旧在一个老小区里面 好像是收购了一家之前的酒店。早餐只吃了一天 非常差,,娜xx荣,2022-02-19,1,负向
120,亚朵酒店,首先3点办入住订了两间房，只拿到了一间，说另一间40分钟可以拿到，我们出去吃饭回来3个半小时取房，说没房还要等，这服务就已经不用我多说了，自己感受。说句心里话，3点到晚上6点都没办法给到我房间，第二天我是否可以按照您交房时间退房呢？再有房间隔音超级差，卫生也就那样，725元一间订到，完全没有性价比可言，我的生意你也是做到头了，我也不会推荐朋友去,,岩xx宁,2022-08-02,1,负向
121,亚朵酒店,"酒店位置很好，离外滩和主干道很近，去哪都方便，前台服务也很好。但是，本来定的是行政双床，前台提前给升级了几木双床。升级是好的，服务态度也是很好的，但是，几木双床房里面是一大一小两张床，虽然小床也还算大，但是床垫很硬，给带小孩的家庭睡没问题，出差两个人怎么分？？？谁好意思占那张柔软舒适的大床？_x000D_
还有必须要吐槽的事，实在是隔音太差了，隔壁撞门声，门锁警报声，走廊频繁的过人。最主要的是，隔壁洗手水龙头的水管声音，就像突然有人在你耳边打开一个全是噪音的收音机，音量还很大。主要这噪音还是无规律的，完全取决于你隔壁的人什么时候洗手。我就惨了，隔壁整个晚上都在频繁的开关水龙头一直到晚上11.30，早上六七点又突然噪音。。。_x000D_
房间规划和卫生也很一般，毛巾没有悬挂的地方，洗手台地方也很小，两个人入住简直是灾难，洗个澡连放衣服的地方都没。_x000D_
给小朋友玩的帐篷看着也挺脏的。",,桂芳xx红梅,2022-06-30,1,负向
122,亚朵酒店,这个酒店第一天给我的影响真的太差了后面两天还可以，第一天凌晨到的店订的几木庭院房但等我打开房门的却是双床的那种亲子屋，前台也没有告知我这也就算了，开门一股浓浓的烟味 上海明确禁烟却有那么大的味道 躺床上一晚上熏的没睡好 要知道烟味落在床上是散不掉的 直到早上我把前台叫上来却说闻不到什么味 难道我是没事找事吗哎 要的就是一个理却在推责任 这个价位的有那么大的意味却还不处理真的是让人不会再选了,,玉英xx杨,2022-06-13,1,负向
123,亚朵酒店,不得不说，这是我住过最差切最贵的亚朵！除了位置离外滩比较近以外没有任何优势，酒店几乎没有几个房间的窗户不是被挡上的，有的窗户小到我都不确定那是窗户，我定的行政大床房，房间实在是太小了，看了3，4个房间，最后将就住在二楼，竟然连冰箱都没有，真心对不起您的房费啊！,,秀华xx雷,2022-02-16,1,负向
124,亚朵酒店,床品不干净，有味道 睡了后过敏了 卫生不好，失望,,建国xx波,2022-06-03,1,负向
125,亚朵酒店,性价比极低，700，800一晚上，住的房间这么小。外面开窗出去，是工厂棚子，很脏。晚上的被子，一睡上去，整个脸痒得要命，不知道这个被子到底清洁了没有。唯一好的，就是离外滩近，其他性价比真的太低了。,,秀兰xx瑜,2022-11-19,1,负向
126,亚朵酒店,"先说说这家亚朵好的地方吧，离外滩600米直线距离，这是好的地方。_x000D_
不好的地方，那就多了。_x000D_
_x000D_
环境:打开窗户，就可以看见都是垃圾的屋顶，大家自行现象。_x000D_
设施:洗浴间特别小，然后客厅空间很大，但是这个客厅根本就不会去用。很不合理，我宁愿洗浴间大一些。然后洗手台漏水，一洗脸，漏水，鞋子都湿了。_x000D_
服务:来大姨妈call前台，call多次，才有人接电话，前台的人都在打瞌睡嘛？？？需要姨妈巾，最后前台没货还是一个客服小姐姐拿自己的给我用，给这个小姐姐好评。_x000D_
_x000D_
总体评价:是我住过的最差的一家亚朵了。",,静xx杨,2022-02-24,1,负向
127,亚朵酒店,有一说一，早餐还是不错的。但是，重点内容来了，定的几木大床房，面积写着30平，checkin之后发现房间绝对没那么大。顶多20出头，要么房间面积标识虚高，要么就没有给我们正确的房间。打电话询问前台，一直支支吾吾，我问我这个房间多大，上来说25，最后改口为30。再一个，卫生间进去之后有尿骚味，保洁人员还把四合一清洁剂落在了洗手台上....总之，整个入住非常不愉快不舒服。,,芳xx雪梅,2022-07-05,1,负向
128,亚朵酒店,酒店前台有些大概是新来的，不太会说话，酒店附近有施工队早上8点就开始施工，声音大到每敲一下整个房间都在抖，给前台打了两次电话反应后前台说是她们也没有办法，但是在安排客人入住之前就应该避免把客人安排到能清楚听到施工声音的房间，如果当初这样做了又怎么会有后来那么多事端呢？最后送了耳塞和眼罩，也帮忙升级了房间，结果晚上睡觉房间里有蟑螂，房顶上还有灰网…朋友还看到了小蜘蛛…反应后又给换房间，早上继续被施工吵醒，体验极差,,志强xx建军,2022-03-27,1,负向
129,亚朵酒店,早餐还算可以 但房间真的小 普通高级大床房和行政大床房 几木大床房是一样大的 并没有什么差别,,红xx洁,2022-04-10,1,负向
130,亚朵酒店,这是我住过所有酒店中遇到最奇葩的酒店，这么大的酒店，竟然没有房卡，真的很无语，来回进出房间，上下楼很不方便，而且办入住的时候，没有经过我的允许，就往我手机上发送验证码，还说什么要注册会员，什么乱七八糟的，已经明确告知，不需要了，到了房间之后还给我打电话，还要一次，不够烦吗，服务真的是差.为了达到目的不择手段，不要别人感到反感把，房间给的很小，就是普通经济型酒店，性价比低，不值这个价位，外滩就位置房价也不便宜了，房间很小，窗户是假窗户，房间不通风，而且隔音又差，根本就不值这个价钱，半夜三更懒得折腾，退房问我要房卡还要好评，这家酒店高手，拜拜了,,宇xx晨,2022-02-12,1,负向
131,亚朵酒店,"几天都太吵了，we_x000D_
?卫生：差",,琳xx玉梅,2022-11-21,1,负向
132,亚朵酒店,酒店卫生有点糟糕，房间里有蚊子，位置还可以,,玉英xx勇,2022-06-25,1,负向
133,亚朵酒店,价格虚高，不值。,,红霞xx楠,2022-08-28,1,负向
134,亚朵酒店,实在不满意，都是暗窗，第一次是一堵墙，窗外对着天井。洗手间的门特别容易撞到头。这个价格加200就能住五星了。,,欢xx岩,2022-02-22,1,负向
135,亚朵酒店,房间很差。很小。不值得这个价。晚上空调热死，也调不了！,,金凤xx秀云,2022-12-13,1,负向
136,亚朵酒店,房间没有窗户差点憋出病，收费不低标准确实低，颠覆了对亚朵的定位,,超xx平,2022-02-09,1,负向
137,亚朵酒店,网络太差了，打电话都要到外面打，一点网都没有,,宇xx强,2022-11-22,1,负向
138,亚朵酒店,床很不舒服.房间设备太差.太次了.被子感觉脏脏的.,,亮xx斌,2022-08-22,1,负向
139,亚朵酒店,酒店地段好，但房间非常一般,,秀云xx玉珍,2022-07-27,2,中性
140,亚朵酒店,房间压抑，,,淑兰xx磊,2022-09-13,2,中性
141,亚朵酒店,要位置没位置，要房间没房间，唯一好的就是服务态度。,,宇xx凯,2022-03-12,1,负向
142,亚朵酒店,一般一般一般,,凤英xx秀华,2022-04-29,2,中性
143,亚朵酒店,前台服务不好,,晨xx丽,2022-05-15,1,负向
144,亚朵酒店,房间好小，还没早餐，不值这个价格,,燕xx玉华,2022-06-21,1,负向
145,亚朵酒店,地方非常小，,,勇xx雪梅,2022-05-21,2,中性
146,亚朵酒店,没有停车位，停车很麻烦。,,雪xx秀梅,2022-08-19,1,负向
147,亚朵酒店,服务态度有待改善,,红梅xx敏,2022-12-21,1,负向
148,亚朵酒店,太小了，老旧,,梅xx鑫,2022-08-14,1,负向
149,亚朵酒店,一般般，环境垃圾,,华xx丽丽,2022-01-02,1,负向
150,亚朵酒店,这价位不值,,玲xx海燕,2022-12-04,2,中性
151,亚朵酒店,"这价格 着配置 太差劲了_x000D_
房间特别热 烧的锅炉一样 一夜没睡_x000D_
亲子房 1700多一晚 真是无语了 当晚斋不到房了_x000D_
骗子 预定的时候 没有出价格_x000D_
办理入住的时候才出的价值 _x000D_
垃圾的骗子",,丽丽xx红霞,2022-10-12,1,负向
152,亚朵酒店,房间没有冰箱真是第一次遇见.之前明明有冰箱.现在只留下放冰箱的空间.冰箱却没了。怕费电？,,想xx红梅,2022-07-16,1,负向
153,亚朵酒店,发票开错，重开很不配合！服务极差！,,雪梅xx桂英,2022-04-01,1,负向
154,亚朵酒店,地理位置很棒到外滩只需要几分钟，前台热情会主动问询提供帮助，洗澡水热水充足，早餐种类不少水果香甜。美中不足受周围环境所限窗外有遮挡，例如我的房间窗户很小并且窗外是酒店内的走廊通道。,,桂荣xx晶,2022-04-18,4,正向
155,亚朵酒店,环境好，还帮我免费升级了房型，位置地段好，一直都挺喜欢亚朵的,,建xx伟,2022-04-18,5,正向
156,亚朵酒店,"春节假期住店，位置非常赞，去外滩和南京路步行十分钟，地铁也很方便，出门就是万国建筑群，随时可以去看外滩景，卫生就是亚朵的标准卫生条件。亲子住宿还是不错的。有儿童牙刷。_x000D_
早餐是商务自助餐，个人觉得面条好吃，服务员态度不错，假期住客多服务就有点点跟不上了，也是可以理解的。_x000D_
外滩边性价比高的商务酒店首推",,莉xx宇,2022-04-23,5,正向
157,亚朵酒店,作为经济型酒店，一晚一千多，好贵呀，地理位置挺好，逛街吃饭都不错，就是太贵了！晚上早上都有自助餐，这一点很满意！,,秀荣xx鑫,2022-01-13,5,正向
158,亚朵酒店,"不错 地理位置优越 _x000D_
附近很多餐厅走出去5分钟就是外滩_x000D_
清洁的姐姐服务也很好_x000D_
忘了挂请勿打扰门牌接待处通知上去立马就弄好了",,阳xx萍,2022-08-13,4,正向
159,亚朵酒店,对本次入住非常满意。前台以及上下楼遇到阿姨每个人都很热情礼貌！一楼有钢琴 孩子玩的还是很开心的。酒店格调OK！,,玉华xx桂芳,2022-05-02,1,负向
160,亚朵酒店,交通地段非常方便，去外滩步行几分钟可以到，酒店各方面设施和服务都很不错。推荐给大家～,,秀荣xx鹏,2022-06-24,4,正向
161,亚朵酒店,早餐很好吃哦?还有免费的洗衣房，衣服可以烘干，重要的是床很舒服,,婷婷xx慧,2022-06-12,2,中性
162,亚朵酒店,"设施：非常到位_x000D_
卫生：非常好_x000D_
环境：很不错_x000D_
服务：特别贴心",,淑珍xx海燕,2022-08-30,5,正向
163,亚朵酒店,服务好，位置好，隔音好，房间干净整洁，离外滩200米，有停车场，,,宇xx强,2022-01-06,4,正向
164,亚朵酒店,我住过上千家酒店，吐槽一下前台接待那个帅哥，做人要实实在在的，我订的什么房型就是什么房型，还给我升级了，你怎么升的？另外这设计师脑子也不好使，床头不靠墙，靠着正门，脚朝窗户。跟睡在xx里一样，一晚上老是做噩梦…满分10分我给5.5分，十分不推荐,,玉英xx斌,2022-01-30,1,负向
165,亚朵酒店,开了一个房间进去酸臭酸臭的，然后给换了一个；房间厕所装修没有门，早上厕所窗帘不遮光，透到房间里影响睡眠；开房的时候说走的时候报车牌号免费停车，第二天退房又说停车费自理，说平台上有写，无语，不免费停车开房时就可以说好；垃圾体验，全国范围内住过最垃圾的亚朵，没有之一，影响亚朵的名声,,小红xx伟,2022-04-10,1,负向
166,亚朵酒店,五一临时行程更改，上海市民为了弥补孩子，临时订了一晚本地酒店，因为约了朋友一起韩国街，索性就定了附近的亚朵，算体验一把网红。大堂漂亮，艺术廊漂亮。槽点：1早餐是motel配置，吃了一块面包一碗小面，小面连碗都没有，装在一次性盒子里。2早餐咖啡没有，说机器坏了。3房间一股味道，什么味道说不上来，不像馊不像酸反正闻着不舒服，感觉脏。4.本人一晚上没睡着，因为房间一直有异响，白天不觉得，等孩子睡下后安静了，不知道是空调风口还是那个地方发出的，平均两三分钟一次，像铁珠子击打地面那种声音，啪嗒啪嗒，没完没了一整晚。第二天一早像前台反馈，小哥哥轻描淡写，问我晚上为什么不上报，我说孩子已经睡下了，十一点多来反馈找技术工上门修这孩子还怎么睡？ 退房送了我一个小礼袋，另免了停车费（作为酒店，这也是个槽点，1000+一晚的住宿停车还要自费），礼袋里面一大卷卫生纸…… 避雷,,秀芳xx淑珍,2022-06-15,1,负向
167,亚朵酒店,"靠近800一间的价格，这性极比，后来一想不如打车，宁可远点也去住朗庭，虽然这家地理位置真的很不错，走过3个路口就到外滩了，但是真的隔音不太行_x000D_
晚上不知道是楼上还是楼下用水，总是有回音上来，根本不好睡，床品来讲，席梦思软硬正好，但是被套就是所有酒店通病，不知道是什么材质，稍微一动，就沙沙作响，加上下水道的声音，简直了，一宿没好好睡_x000D_
早餐很不错，今天刚好清明，还给了季节食物青团_x000D_
前台几个女服务员态度普遍不怎么样，在跟我确认的时候，非常大声地说出我的房号和姓名，这让我觉得非常不安全，难道没有一点保护客人隐私的意识吗，我要求加一床被子，等了2个小时以后，再次打电话才送来的，真的很无语_x000D_
不会再入住，体验感较差",,淑兰xx梅,2022-03-06,1,负向
168,亚朵酒店,临时来上海对比几家选了这个酒店，因为装修比较新，毕竟也不是第一次住亚朵，到了后只有惊没有喜，酒店在巷子里的一栋三层楼，外观上真不如走过来马路边上的锦江，价格还比亚朵便宜，顺利办理入住带我们去房间，房间就在一楼还要打开一个消防通道门，真是别有洞天，走廊上因为不通风吧一股子味道，房间真是一言难尽，中午两点多外面还出着太阳房间里都进不来光，昏昏暗暗的，窗户旁边还有一条排污沟，哎，让我想起了深圳城中村的握手楼，隔音差到隔壁开龙头都能听的一清二楚，服务更是绝了，打电话给前台询问有没有洗衣液或者洗衣的香皂一类，态度随意的说帮我看看，啪的给挂了，然后就没有然后了，到退房也没有见到或者接到一个回馈电话，退房的时候还看到其他客户在前台投诉；可能上海亚朵管理就是三流旅店的管理吧，八百一晚除了离外滩近无任何优点，比他家性价比高的在旁边有的是，大家避雷吧。,,明xx娟,2022-07-09,1,负向
169,亚朵酒店,房间窗户有遮挡，屋子很不透气，原本订了三晚，只住了一晚就退房了。酒店服务不到位，原本应当两点入住，两点到大酒店后又等了一个多小时才入住房间，说是房间还没打扫出来，打电话给前台叫服务，等了很长时间服务员才来，还不熟悉酒店业务。总之感觉酒店房间和服务不值这个价钱。,,英xx颖,2022-11-14,1,负向
170,亚朵酒店,房间是我住过算很差的和价格完全不符合，还不是节假日都要900多，最重要的是房间的窗户外面就是一个走廊，有人经过就在自己房间的窗户外面，很没有安全感，门口的过道，保洁阿姨很晚了还在过道聊天，隔音很差，躺在床上听她们在聊天，我也真的是没脾气，不知道哪来的那么多好评，门口的保安也很凶，叫了滴滴在门口停的没超过一分钟，而且我们还在旁边的情况下，保安就在那里一直说不能停，我就想问下保安你不让停那我们怎么上车，而且前面还停了一辆，你怎么不说，建议大家可以慎重考虑，真实的感受。,,斌xx晨,2022-08-19,1,负向
171,亚朵酒店,性价比很低，一千多块钱一晚比我在其他城市住的四五百块的亚朵房间还要小。房间里只有一个非常非常小的窗户，和我们自己家的浴室窗户那么大，和前一晚住的香格里拉简直天壤之别，非常不满意,,雪xx东,2022-02-09,1,负向
172,亚朵酒店,除了位置，一无是处，接近一千元一晚上的价格感觉住地下室一样，早上一早居然有人弹钢琴，隔音效果极差 立马被吵醒，喜欢睡懒觉的同志们慎入,,浩xx旭,2022-09-17,1,负向
173,亚朵酒店,1为了孩子特意定了亲子房，可是房间布置和图片严重不符合，没有任何卡通装饰也没有小帐篷，小朋友很失望。2停车很不方便，酒店也不提供哪儿可以停车的信息，最终我在晚上10点多花了大半小时找车位，花了130停在了一家单位的停车场，找到车位我还算是运气。3卫生局一个龙头是坏的，直接能拔下来。,,涛xx莉,2022-03-30,1,负向
174,亚朵酒店,卫生条件差，房间臭，沙发看起来脏兮兮的，淋浴间里有没被丢掉的卫生纸堆在很明显的位置，非常糟糕的入住体验，以后不会再选择亚朵。,,佳xx红梅,2022-08-11,1,负向
175,亚朵酒店,真的很经济型酒店，弄堂里面，房间窗户外紧紧挨着别的破房子，真的很差。房间里面也脏兮兮的。,,建平xx建,2022-09-15,1,负向
176,亚朵酒店,比较差的体验了，酒店不隔音，然后还是内窗，里面咖啡和茶包也没及时补充。,,鹏xx海燕,2022-07-24,1,负向
177,亚朵酒店,亚朵品质还是有保障的，我们一般在外面如果选酒店，会先看亚朵。这家店地理位置很好，出门2分钟就是外滩，再走5分钟就到轮渡码头，夜景很美。房间不算大，不过外面有个小露台，跟平常的阳台不同，总让我觉得是在一层小院而不是五层。可惜早上起晚了，没能去吃早饭。服务很热情，退房的时候也会主动送水，还有个小礼品。带着老人小朋友旅游还是推荐的。,,红xx燕,2022-10-22,4,正向
178,亚朵酒店,"距离外滩步行几百米 不要太方便哦_x000D_
三口房间非常棒 干净卫生舒适 一应俱全 还带小露台 机器人送东西到门口 饮料免费 还有百度的小度智能音箱 爱了爱了_x000D_
最难忘的是从入住到离店的服务一级棒 帮拿箱子 前台也很专业 总之感受非常好 下一站苏州还选亚朵_x000D_
感谢亚朵每一个用心做事的人 从管理层到工作人员 感谢你们呦",,勇xx彬,2022-04-09,5,正向
179,亚朵酒店,"房间空间很大，还有阳台。早上在外面吃个早餐嗮嗮太阳非常舒服。酒店的枕头和床垫非常舒服，自己都想买一套给家里用了。_x000D_
_x000D_
酒店的服务特别专业，从前台到保洁阿姨都很友好。_x000D_
_x000D_
酒店距离外滩很近，走三到五分钟就到了。",,亮xx桂芳,2022-08-24,1,负向
180,亚朵酒店,首先，酒店位置非常好，出门右转步行2分钟即到外滩，漫步黄浦江边，两岸风光尽收眼底；其次，酒店设施比较完备，卫生整洁度较高，自助早餐48元，种类比较丰富，酒店旁边也有老字号“大壶春”生煎可供选择；再次，在寸土寸金的外滩片区，该酒店自带一个小型停车场，目测可供停放10辆车左右，颇为难能可贵；最后，酒店服务水平也比较在线，唯一的不足之处就是受限于老建筑，酒店房间面积和通风效果难以做到尽善尽美。,,玉xx桂英,2022-06-12,4,正向
181,亚朵酒店,酒店环境很好，离外滩很近，走一会儿就到了，房间干净整洁，服务水平非常好非常到位，还免费延时，前台服务人员热情周到，细心解答客人的问题，非常感谢，下次来上海还会亚朵酒店！,,淑珍xx玉,2022-03-21,5,正向
182,亚朵酒店,"位于南京路、外滩区域，距离签证申请中心很近，步行过马路，转个弯就到了。_x000D_
酒店大门在一个小巷子里。房间不大，窗户朝向也很怪，不过在这寸土寸金的地方也可以接受。",,红xx玉珍,2022-10-24,1,负向
183,亚朵酒店,"前台很热情，给免费升级了豪华亲子房，房间还带露台。。！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！_x000D_
设施：好_x000D_
卫生：好_x000D_
环境：好_x000D_
服务：好",,丽xx阳,2022-12-21,4,正向
184,亚朵酒店,"靠近800一间的价格，这性极比，后来一想不如打车，宁可远点也去住朗庭，虽然这家地理位置真的很不错，走过3个路口就到外滩了，但是真的隔音不太行_x000D_
晚上不知道是楼上还是楼下用水，总是有回音上来，根本不好睡，床品来讲，席梦思软硬正好，但是被套就是所有酒店通病，不知道是什么材质，稍微一动，就沙沙作响，加上下水道的声音，简直了，一宿没好好睡_x000D_
早餐很不错，今天刚好清明，还给了季节食物青团_x000D_
前台几个女服务员态度普遍不怎么样，在跟我确认的时候，非常大声地说出我的房号和姓名，这让我觉得非常不安全，难道没有一点保护客人隐私的意识吗，我要求加一床被子，等了2个小时以后，再次打电话才送来的，真的很无语_x000D_
不会再入住，体验感较差",,静xx建军,2022-01-15,1,负向
185,亚朵酒店,"房间的淋浴露洗手液 都很香 檀木香_x000D_
酒店前台人员服务态度都很好_x000D_
地理位置也很不错 几分钟走到外滩 十分钟到南京步行街_x000D_
下次还会来入住的！",,敏xx彬,2022-03-10,4,正向
186,亚朵酒店,距离外滩、南京步行街非常近，很方便游玩，就是房间比较小，不过要是白天出去玩倒是无所谓。服务挺好，有机器人送外卖到房间。,,桂兰xx玉珍,2022-12-16,2,中性
187,亚朵酒店,居住体验很一般，房价很高，性价比不高，只有一个优点距离外滩近。,,楠xx芳,2022-06-20,4,正向
188,亚朵酒店,真的不咋地 不值900多的价格。房间很小。室内窗户。性价比很低。,,梅xx颖,2022-12-23,3,正向
189,亚朵酒店,服务响应很慢，在里面还丢了一个耳机，充电线也没找着,,莉xx兰英,2022-07-10,1,负向
190,亚朵酒店,"只能说一般吧，1010一晚，不如去住威斯汀或加几百去住和平英迪格，胜在位置不错。理解外滩寸土寸金，但这家实在不符合亚朵的理念规制_x000D_
先说?服务：_x000D_
实在不符合亚朵用户第一的企业理念，办理入住前台业务不熟练说没有找到订单，导致等待良久，体验感不佳，备注也有说到需求高楼层安静的房源，本身是亚朵金，本次通过携程预订，却没能很满意，以后还是少住亚朵吧，对外标榜对标希尔顿等品牌连锁，可是却无法达到，尤其这家，说是汉庭也不为过。",,秀梅xx建,2022-08-19,1,负向
191,亚朵酒店,?卫生：房间不是很干净，有灰尘，更无语的是墙上竟然有蜘蛛……要求前台换房间，另一个房间防盗锁竟然是坏的，唉?无语?,,莉xx明,2022-07-21,1,负向
192,亚朵酒店,"优点：酒店距离外滩位置较近。_x000D_
缺点：_x000D_
1. 房间太小。_x000D_
2. 图文不符，我订的是亲子房，结果并没有任何图片上的卡通图案装饰和室内帐篷。_x000D_
3. 不含早餐，48/位。早餐可选种类不多，味道一般。_x000D_
这是我入住同等价位最差的酒店和早餐。_x000D_
总体来说1600元/晚的价格性价比过低，不值，完全可以选择_x000D_
可以订旁边的锦江国际（毕竟它含早且房间50平+，环境相比更好，视野更广）",,秀云xx梅,2022-08-17,3,正向
193,亚朵酒店,选择这个房间是因为离外滩近，加上早餐一晚1000多，第一次入驻刚到房间，小朋友到处看看就发现被单上有鼻屎样粘稠物，我动手擦了，后来小朋友说太脏不想住，前台换房态度倒是挺好，马上换了一间，也是二楼，进门有潮味，勉强入住了。第二天早餐看着也算丰盛，结果小朋友一会从炒面里吃出了铁线丝，顿时倒足胃口，小朋友幸好吃出来不然吞下去吃出问题来，反映下厨师和服务员过来说了抱歉，态度还可以，前台退房时就平淡带了两句歉意，扔了一盒廉价小礼品。真是糟糕透顶的入驻体验。住不好，花了一百多加的早餐，恶心了一整天,,峰xx宁,2022-07-13,1,负向
194,亚朵酒店,很差很差，地洞一样，窗都没有,,雪xx东,2022-11-23,1,负向
195,亚朵酒店,房间阴暗，服务意识超差,,敏xx军,2022-09-10,1,负向
196,亚朵酒店,酒店位置较好，服务优，外滩浦发银行后面，但卫生一般，进门打死小强一只，四楼以下通风不好。,,桂兰xx建国,2022-08-02,1,负向
197,亚朵酒店,先说说服务，登记就告知雅致大床房窗户是对这一面墙的，这跟没有窗户有什么区别？还雅致什么？？？然后一看我们开始犹豫了，就开始一个劲的推销会员卡，我朋友订的钱已经交了，因为取消需要手续费，没办法，只能加钱办会员卡，换了行政套房，因为我没有付钱，我犹豫了一下，前台的居然跟我说不好取消，要取消的必须要他们那边同意，不然只能办会员卡！还好我有登录了携程看了一眼，是可以取消的！最后以比办会员卡低100多的价格换了行政套房！进到屋里，我跟我朋友都惊讶了，房型还不一样！一点点大，根本对不起行政套房这几个字！暂且不提房间怎么样！就营业员的这几个人推销的态度，让人失望透顶！！！我去其他酒店，营业员至少应该告诉我们哪个最划算吧，而不是忽悠我们说退不了，必须办会员卡吧！失望！生气！遗憾！这是对这家店的六字评价！！！,,红霞xx志强,2022-07-03,1,负向
198,亚朵酒店,"首先进入酒店大厅就迎面而来的下水道反味的味道，一开始订的房间查看是内窗，又加了40元换成外窗，结果只要一开窗，外面不知道是哪个加工作坊成宿的有噪音，不得不得关窗睡觉，瞬间觉得差劲到极点。价格跟我之前看的香格里拉相差200，这家店价格_x000D_
_x000D_
高，品质达不到。忘大家参考。_x000D_
?环境：差_x000D_
?卫生：一般_x000D_
?环境：_x000D_
?环境：",,芳xx岩,2022-09-11,1,负向
199,亚朵酒店,"总结：特别差，强烈不推荐大家入住。_x000D_
理由：1.有蚊子?这么多年了叫得上名字的酒店我第一次住的房间里有蚊子，直接0分。_x000D_
            2.房间里特别阴暗，面积不大，酒店周围全是大高楼，窗户外面是过道，所以白天开着灯也是很暗的，特别压抑。_x000D_
            3.早餐特别难吃，馄饨面条没有味道，还不如直接出酒店们去对面的饭馆吃_x000D_
            4.插卡才能用电，出门拿外卖或者下楼洗衣服是真的麻烦。_x000D_
           5.你尽管加钱升级房型，从最便宜的到行政大床房再到后面的，体验没有任何升级。",,玉华xx莉,2022-02-17,1,负向
